comment,is_toxic
hải yến thần kinh lạy m . chả xem kệ m thiên hạ điss vô mồm,1
nghỉ ôg già,1
trung sonic,0
"mày gọi nhảm , đồ chó đẽ",1
cc,1
đợi đấy tha bay đồ tốt lắm,0
thầy địt mẹ giả tạo vl,1
hk cức fan nhảy dựng phân,1
chi 3 noi troi luon,0
nghĩ thiên đường .,0
phan mạnh cường lo mong mày chết bớt 1 rủa người ta chết óc,1
tàn ác . con người trị nghiêm ko trở thành kẻ xấu xã hội .,1
fake hay sao mn,0
chị đẹp lắm chi,0
xấu ngu,1
thằng ngu sân cỏ,1
"mk vụ đấy nổi ngọc bình live virruss cãi vs . kết quả ngọc bình mẹ thu đt thằng rách vố mk vết nhơ gây k lm tồn tại lâu dài đâu , rách thiện chí xem thêm",1
cl z mẹ . ng ta từ chối hiểu,1
"mực dù trình mày thua thằng quyền , đánh ngu , sủa bẩn , óc lồn",1
đá thua indo nước hộ zai,1
"đường gặp lừa đảo , trộm cướp , xã hội bất an !",1
võ minh hiếu xin video,0
oke hasagi chết mọe,1
đỏ sát bờ ?,0
zả bố thẻ đỏ,0
nguyễn minh quân thằng phía bênh t chọc cay khóc kìa bro .. kkk kéo chửi chọc chơi,0
nick thật đâu,0
kim phượng ngu hà nội p nhảy nhông khắp p,1
đần,1
đất nước ko đảng phái,0
thằng ban vĩnh viễn k sai đâu,0
thằng ko dc,1
"thua xinloi , khon nạn má",1
ok nhá,0
xa hội bgio phuc tap nguoi k tinh nghia gi nua het .,0
đụ má mặt nhìn đàn ông,1
trọng tài nguu,1
đủ 16 t ngông trị khoai ngô bỏ qua đủ tuổi thật sự thất vọng pháp luật việt nam,0
bọn chủ yếu lạc hướng ngta trộm,0
đunga ba chíp chíp chíp cũa,0
đừng nc kiểu ngu tao cười chết nhi tag lắm tưởng ngu trl ngu,1
mất đứa đứt khúc ruột . thương,0
mả cụ tổ họ hàng hang hốc mày .,1
tao đéo,1
"show , jg 2 game out 2 . rank kẹp lóc ngóc bk4 duo lb2 game t top 2 m nát gank t , game đầu t k để ý m xem stream đấy . k cỡ m t cân 2 nha .",0
cuoc vui co don,0
"hẳn thi công k chuẩn cười vỡ cmn bụng , đcm chúng mày lắm lí do vcl .",1
liêm sĩ ji tầm abe ôi,0
đéo ngại,1
chs ngu nhờ ng gánh giỏi,1
địt cụ mày,1
k ngon nha . 18 cành,0
kém vô cùng,1
chị ba . bản lĩnh con cháu hai trưng triệu,0
trần nhật tuấn bú win a,0
"mực tự mồm khổ thân feed chửi đồng đội , tự nhiên đii đâu , xong game mời chửi tiếp , nói chung họa tự chuốc lấy",0
tuân nguyễn no lai cay vl,1
đần vcl,1
ý kiến cá nhân hát ko chút ý nghĩa nghe khá sàm ko ý kiến cá nhân a hùng bàn phím né hộ,0
coi k cmt nta . cắn chóa,1
"lỗ mũi lỗ trâu mà còn ngột ngạt , hít hết khí trời ngta j .",1
hoàng tử băng giá đầu chứa cứt,1
thứ,0
đụ má mày nha sử dụng fb ảo tạo nét,1
mực dốt đời bk rách,1
xl dc trọng tài lol,1
"thanh niên to lực lưỡng chân tay cướp dị , nghiệp nghiệp",1
sv cày thuê hành cay đỏ dái hả,1
"hieu nguyen bùi ăn hết nội m hả , đụ mẹ m lôi nói chung chung ý thức m cc",1
toàn âm mạng đâu khè,0
nghề kiếm cơm thanh niên nam kỳ,1
t nghe thích ae,0
thoát kiếp,0
công an đâu cơ quan trình báo chửi ko giữ,0
ngọc liên nc nv nha homie,0
óc th . m nghĩ cố tình vi phạm . r ng dân gài dìu r bắt lỗi ko đúng đầy đấy . đấy đạo lí,1
troussier vô dụng . chức,1
mặt đường đeo vàng nói chuyện lâu đường . mất tài sản,0
mấy thằng chó sủa bậy sướng độ đóng phim,1
đấm mẹ mày giờ,1
trọng tài kìa,0
bắt kém cực thậy,1
hai thằng giả vờ 1 thằng hành động bán buôn lời,0
luật sư hà a giúp cháu đk ko . nghe tội vs bức xúc,0
lê nguyễn thu hằng dm vcl bar đeo khéo đc 1 p giật tung l,1
vc thằng fan,1
gặp đồng đội chửi lò r,0
bảo t đc ngu ác,1
mày câu đấy nhóc,1
xh loạn hết . cq hãy dân quyền tiêu diệt lũ cặn bã .,1
toàn con người thiếu ý thức cầu mong dừng con số lo lắng cầu máy máy mẹ đừng tùm lum khổ lắm chết đóng cửa chết mẹ,1
đập ngu thầy mãi mãi cx dell đc 7 e thề,1
mong pháp luật trừng trị thật nghiêm kẻ coi thường mạng coi thường pháp luật . mong cháu yên nghỉ . thương,1
"face you , ngày mai mày tai nạn chết mày , mày mù mẹ mắt khỏi tốn cơm",1
t k thích k ưa mẹ .... dx chưit ngta nghe hài vcl bù củng đỡ,1
nhục lồn k ? . mệt sủa ngu . cút,1
dễ thương đâu,0
phương nam tích bán,0
happy new year coach !,0
thằng ngu t gặp mấy t cầm sett bú cu . giờ t lục bảo 1 heo elo vẩn bk . ngu đéo tả đc nổ haizz . mầy leo ranh nhân phẩm kỷ năng đéo . khéo sài hết nhân phẩm xe đụng mầy .,1
bắt loz cút nha bú sữa đêy a tài,1
lỗi địt mệ mày,1
kiện bồi thường nhẹ nhàng v,0
đóng thuế thuê 1 thằng phế vật .,1
ma vương chơi broooo,0
linh nguyen trend hình như lâu lắm r,0
mai dù,0
clm hẳn trai alimi bố m hài ỉa bàn thờ m th mực,1
công an,0
bọn ăn cháo đá bát,1
hot face khó,0
lỗi đjt m thằng trọng tài m nghỉ vc mẹ,1
gia nay duong duong xe no tong chet me duoi gam xe,1
ban vinh viễn cmn,1
mày tinh trùng khuyết tật tao câu ngu câu chấp lo giúp ba mẹ mày bữa ăn ngon trl ngu dốt vc,1
khéo nhung lây sang,0
2022 idol vn,0
tưởng ý thức nhật lắm ?,0
mấy súc vật,1
họp báo m bảo hài lòng hâm mộ đội tuyển việt nam hài lòng vs m ?,0
"thằng áp dê ngon thiên hạ , thông ngôn cmn",1
"trang cty jack dĩ nhiên fan ng ta vô xem , fan ng ta đông , ủng hộ j tức . tức nói ngang lắm , tỏ hiểu biết thanh cao . con người thiếu tỏ như thế .",0
tệ hại . xem xét trình độ,1
mìh sách j,0
a mực kỹ lăng,0
đem đưa sơ xo thẩm quyền thp bốc phân ăn,1
chả hiểu đẹp đâu,0
ý thức l ..,1
đm thêm ruồi mẹ n,1
trọng tài mù mắt,1
"tội , lương 7 8 triệu , tôm nhỏ chẳng ăn , ăn cua hoàng đế tôm alaska",0
ngáo cứt lợn,1
ngọc trang mua dưa leo chơi rẻ,0
bọn mọi đen ko ? sỉ nhục đéo dám,1
"tụi mày tuổi lồn , vuông",1
đcu bắt ngáo lòn,1
cặc,1
xem trận indo đá thailand . cách dạy học trò presing chống presing,0
"quay dính biển xe 2 t kia , đăng xuất thoát , mai lên trang đầu coi .",0
tính tư duy ct m ko 1 champ đct nha đánh rank bk đc game dương mạng,1
đánh trụ win mẹ r,0
djtme may,1
xin lỗi cc . địt mẹ mày,1
tăng 2 7 dân lợi lồn mẹ chúng nó,1
thiếu lozz ngọc trinh hôm qua tiệp hơi nông nỗi,1
bộ trưởng quốc phòng hèn ls vn,1
fuck you mày thèn đẽ thái lan mua mày bao nhiu,1
trần dần tro sướng lỗ mồm . hắn vn . tro thường tín hà tây,1
chán địt cụ mày,1
lũ ngu vô học ... viết tiêu đề sai chính tả .,1
xem phố bolsa tiên tri zũ trụ trần dần,0
thằng khốn nạn,1
thời đại loại ác giặc,1
mày nghỉ . phát ngôn tào lao fan unfollow hết,1
chia buồn gia đình kid cận huyết sua chill lofi đưa già kid 9 suối,1
idol m chừng nguyễn đức long minh hùng,0
đơn giảng luật pháp việt nam nhẹ tay ko đủ tính đe . tình trạng tiếp diễn hoài,0
ghi k rõ khóc lóc,1
lozzz,1
đ . ụ m . ẹ mày ad link bấm coi chục qc nhảy,1
bọn giàu mang thua nghèo nửa đm chán,1
đmm,1
nguyễn võ hữu châu cẩn thận mất,0
thầy bói,0
đu idol ngu muội idol vô học fan vô học,1
yêu,0
mả cụ mày,1
9 xác nha ace,0
dmmmmmm thằng trọng tài,1
philippe troussier !,0
m vs thg dog giống phết ngu to mồm thượng đẳng,1
1 tặng quà va len thai mn .,0
trundlo ko co linh ma cap dc 2 cai tru luon,0
xin địt thằng cha mả tổ cụ kị mẹ mày,1
đit mẹ thua thể loại,1
lam ma co the tha loi duoc nhung nguoi an noi vo hoc thuc nhu the nay . bo tay .,1
kéo fame,0
đitme ngần tuổi r k đóng khóa quần thằng đĩ vượn,1
cay hộ đọc hết 3 kia tự nhiên nhảy cắn tùm lum,0
thằng hội eva bốc phốt dm thằng add cố đéo chịu hiểu đăng,1
hong thay kiểu nay đừng tiếp chuyện nha . dat vu,0
địt mẹ thẻ đỏ coi,1
trán ngắn tóc dài mồm lai trung cuốc .,1
tụt mẹ m nhanh đỡ mặc,1
tốc chiến đỡ ff,0
giờ phút hạn chế du lịch trời ...,0
địt mày,1
"sory cc , đêm nay chính thức bay ac",1
lộ thêm chục mẹ đơn thân . mấy ruồi phát sáng thời kì rụng trứng tụi mún a 5 trịu,1
vụ phốt t tụi fan jack đốt iq thấp thật sự kiểu ngu ngu kiểu . t ngại dùm . đúng . thằng đồ dốt địt kia fan thiểu năng ko .,1
thang ngu thương gay mày troussier pháp thang coho ..,1
tới cùng,0
bắt cặp đồng bọn,0
tụi ác thật,1
đm . tao ca tao quyền . đm ad phản cmn động,1
đá onl .,0
vãi còi ôm vòng ngực đô,1
0 bỏ qua pp,0
chế độ nầy tàn hù thiên hạ !,1
thedog fuck you,1
bắt thả hành nghề trộm cắp việt nam hết trộm cắp,0
toi dang xem gi vay,0
m chắt đồng 3 ỉa chảy mòm chê,1
